iter	Logloss
0	0.6276621246
1	0.5775381306
2	0.5266872025
3	0.4893165888
4	0.4585783577
5	0.4281749712
6	0.4012863895
7	0.3805687564
8	0.3592977469
9	0.3420293331
10	0.3227572019
11	0.3061914294
12	0.2940170383
13	0.2833238397
14	0.2741737189
15	0.2614488534
16	0.253299145
17	0.245574443
18	0.2375063528
19	0.2324145903
20	0.2284554223
21	0.2196980034
22	0.2152224895
23	0.2105693388
24	0.2074850702
25	0.2041393042
26	0.1994232709
27	0.1974720117
28	0.1958081177
29	0.1924176754
30	0.1896168034
31	0.1877069426
32	0.1859271758
33	0.1835075528
34	0.1813505813
35	0.1785907541
36	0.1773369353
37	0.1751846613
38	0.173729996
39	0.1723056677
40	0.1716061047
41	0.1701293155
42	0.1696153218
43	0.1680255297
44	0.1672884853
45	0.1658797625
46	0.1651671539
47	0.1639343929
48	0.1627915948
49	0.1622013283
50	0.1612778371
51	0.1606034763
52	0.1598151261
53	0.1593587555
54	0.1583916003
55	0.1578240231
56	0.1575216975
57	0.1570701531
58	0.1566147021
59	0.1559830856
60	0.1552018343
61	0.1546605178
62	0.1538966772
63	0.1534179245
64	0.1531773908
65	0.152506329
66	0.1520680053
67	0.1515651921
68	0.1512135179
69	0.1507644606
70	0.150335835
71	0.1500949703
72	0.1497588049
73	0.1492314516
74	0.1486125442
75	0.1480987379
76	0.1479944427
77	0.1477222463
78	0.1473633964
79	0.1470209074
80	0.1467646136
81	0.1465441118
82	0.1462796354
83	0.1459588099
84	0.1458021682
85	0.1455307715
86	0.1453247343
87	0.1451115717
88	0.1449760028
89	0.1447070585
90	0.144491415
91	0.144141076
92	0.1439878348
93	0.1437791654
94	0.1435290664
95	0.1433995887
96	0.1430461918
97	0.1429297509
98	0.1426366064
99	0.1424313348
100	0.1423148496
101	0.1420630557
102	0.1417768076
103	0.1416799103
104	0.1416193478
105	0.1414427601
106	0.1412837975
107	0.1410035263
108	0.1408688675
109	0.1407557992
110	0.1402928346
111	0.1401528719
112	0.140050698
113	0.1399340391
114	0.1397470256
115	0.1396058158
116	0.1394795908
117	0.1392171035
118	0.1390225152
119	0.138949666
120	0.1387900659
121	0.1386673083
122	0.1386054938
123	0.1385091393
124	0.1383025871
125	0.1380754355
126	0.1379775613
127	0.1377314942
128	0.1375082445
129	0.1373488256
130	0.1372816917
131	0.1371237707
132	0.137025077
133	0.136925307
134	0.1368397876
135	0.1367089817
136	0.1366308662
137	0.1364298793
138	0.136345377
139	0.1360959305
140	0.1359420953
141	0.1358109631
142	0.1356837729
143	0.1355650643
144	0.1354176508
145	0.1352727808
146	0.1351885591
147	0.1350281068
148	0.1349529491
149	0.1349069595
150	0.1348252215
151	0.1346026039
152	0.1344424227
153	0.1342353385
154	0.1341926547
155	0.1340760258
156	0.1340115697
157	0.1338892698
158	0.1338358525
159	0.1337586812
160	0.1335983998
161	0.1333711083
162	0.1330887229
163	0.1329307992
164	0.1327432101
165	0.1327032774
166	0.1325586932
167	0.1325031594
168	0.1322882417
169	0.1321311845
170	0.1320208873
171	0.1319632626
172	0.1318323421
173	0.1317252731
174	0.1316293567
175	0.1314645938
176	0.1313636398
177	0.1311883582
178	0.1311052183
179	0.1310599348
180	0.1310026254
181	0.1308963987
182	0.1308260049
183	0.130777609
184	0.1305927954
185	0.130507148
186	0.1304339831
187	0.1303377066
188	0.1303042153
189	0.1302536828
190	0.1302179289
191	0.1301322351
192	0.1300126931
193	0.1299085454
194	0.1298406046
195	0.1296951066
196	0.129632584
197	0.1295628326
198	0.129484506
199	0.1293800446
200	0.1292567771
201	0.1291948693
202	0.1291378171
203	0.1290061746
204	0.1288577976
205	0.1288146397
206	0.1286436098
207	0.1285816908
208	0.1284782573
