iter	Passed	Remaining
0	37	35681
1	73	34814
2	108	34395
3	140	33236
4	174	32951
5	220	34690
6	259	35014
7	311	36701
8	343	35913
9	381	35917
10	419	35854
11	450	35245
12	483	34906
13	517	34649
14	554	34576
15	597	34890
16	638	35095
17	676	35050
18	709	34810
19	746	34737
20	786	34819
21	821	34675
22	880	35539
23	916	35414
24	958	35492
25	993	35345
26	1077	36877
27	1117	36833
28	1167	37112
29	1209	37142
30	1244	36930
31	1278	36731
32	1312	36523
33	1348	36367
34	1385	36273
35	1424	36214
36	1475	36459
37	1511	36325
38	1553	36323
39	1655	37710
40	1686	37425
41	1720	37241
42	1756	37092
43	1791	36926
44	1830	36853
45	1865	36701
46	1918	36899
47	1954	36776
48	1990	36650
49	2025	36497
50	2057	36306
51	2087	36096
52	2125	36017
53	2158	35855
54	2191	35698
55	2225	35566
56	2263	35495
57	2304	35478
58	2346	35469
59	2388	35470
60	2428	35428
61	2463	35329
62	2497	35204
63	2540	35214
64	2577	35138
65	2611	35011
66	2647	34930
67	2683	34850
68	2722	34803
69	2761	34756
70	2803	34750
71	2839	34662
72	2872	34548
73	2907	34463
74	2939	34335
75	2975	34254
76	3007	34141
77	3041	34042
78	3074	33940
79	3108	33840
80	3139	33722
81	3172	33621
82	3204	33509
83	3239	33441
84	3271	33335
85	3306	33260
86	3341	33182
87	3375	33105
88	3405	32987
89	3437	32882
90	3471	32809
91	3513	32801
92	3549	32751
93	3587	32706
94	3629	32700
95	3667	32662
96	3703	32604
97	3764	32764
98	3816	32846
99	3848	32748
100	3884	32687
101	3919	32623
102	3958	32590
103	4002	32598
104	4038	32535
105	4087	32584
106	4121	32510
107	4158	32461
108	4193	32393
109	4227	32321
110	4264	32275
111	4302	32230
112	4347	32243
113	4385	32196
114	4419	32129
115	4480	32252
116	4520	32220
117	4561	32198
118	4594	32121
119	4628	32049
120	4674	32065
121	4728	32128
122	4768	32099
123	4809	32078
124	4864	32143
125	4903	32103
126	4942	32068
127	4993	32109
128	5033	32071
129	5076	32060
130	5119	32047
131	5159	32009
132	5200	31986
133	5234	31917
134	5278	31905
135	5319	31876
136	5390	32029
137	5451	32117
138	5490	32076
139	5553	32171
140	5653	32476
141	5699	32472
142	5739	32429
143	5777	32379
144	5816	32334
145	5862	32321
146	5987	32746
147	6133	33276
148	6187	33303
149	6251	33381
150	6302	33392
151	6492	34125
152	6532	34072
153	6569	33998
154	6608	33938
155	6646	33873
156	6685	33813
157	6728	33769
158	6766	33705
159	6805	33643
160	6853	33627
161	6904	33629
162	6947	33584
163	6988	33537
164	7032	33501
165	7062	33398
166	7095	33310
167	7147	33313
168	7185	33250
169	7220	33169
170	7262	33126
171	7301	33068
172	7338	33000
173	7395	33024
174	7433	32962
175	7490	32982
176	7532	32938
177	7568	32866
178	7601	32785
179	7637	32714
180	7678	32665
181	7712	32587
182	7751	32529
183	7787	32463
184	7826	32405
185	7863	32340
186	7898	32268
187	7928	32177
188	7964	32111
189	8008	32077
190	8048	32026
191	8079	31940
192	8112	31860
193	8164	31859
194	8237	31936
195	8281	31900
196	8332	31892
197	8371	31835
198	8410	31781
199	8445	31711
200	8475	31625
201	8521	31595
202	8555	31524
203	8586	31441
204	8619	31366
205	8656	31305
206	8712	31314
207	8745	31240
208	8785	31188
209	8814	31104
210	8846	31024
211	8894	31003
212	8933	30951
213	8973	30903
214	9013	30855
215	9058	30824
216	9096	30768
217	9128	30694
218	9156	30606
219	9185	30520
220	9217	30448
221	9249	30371
222	9279	30292
223	9307	30207
224	9335	30123
225	9364	30041
226	9397	29973
227	9435	29920
228	9470	29857
229	9503	29792
230	9537	29727
231	9601	29756
232	9731	29988
233	9772	29944
234	9800	29860
235	9829	29779
236	9863	29716
237	9935	29763
238	9973	29712
239	10009	29654
240	10056	29627
241	10099	29588
242	10134	29527
243	10163	29448
244	10197	29384
245	10227	29311
246	10256	29233
247	10297	29190
248	10328	29119
249	10358	29043
250	10396	28995
251	10455	29002
252	10501	28973
253	10533	28904
254	10565	28838
255	10610	28805
256	10646	28749
257	10680	28688
258	10713	28624
259	10757	28591
260	10802	28559
261	10872	28592
262	10915	28554
263	10949	28494
264	10989	28447
265	11025	28392
266	11066	28350
267	11096	28280
268	11126	28209
269	11158	28144
270	11191	28081
271	11220	28009
272	11249	27938
273	11280	27871
274	11309	27799
275	11336	27725
276	11367	27658
277	11399	27597
278	11433	27537
279	11461	27467
280	11493	27403
281	11523	27337
282	11558	27282
283	11600	27244
284	11636	27193
285	11676	27148
286	11707	27086
287	11740	27027
288	11779	26981
289	11812	26923
290	11849	26875
291	11890	26836
292	11932	26797
293	11989	26792
294	12043	26781
295	12088	26750
296	12134	26719
297	12175	26679
298	12225	26659
299	12274	26635
300	12324	26613
301	12455	26767
302	12503	26740
303	12531	26669
304	12565	26614
305	12599	26558
306	12639	26515
307	12674	26460
308	12710	26407
309	12747	26359
310	12788	26316
311	12839	26295
312	12893	26282
313	12936	26244
314	12989	26226
315	13032	26188
316	13075	26150
317	13121	26118
318	13171	26094
319	13228	26085
320	13286	26075
321	13326	26032
322	13366	25987
323	13409	25950
324	13455	25916
325	13498	25878
326	13587	25929
327	13704	26029
328	13765	26024
329	13802	25972
330	13840	25924
331	13895	25908
332	13947	25884
333	13982	25829
334	14021	25783
335	14061	25738
336	14102	25693
337	14144	25653
338	14187	25613
339	14261	25628
340	14302	25584
341	14358	25569
342	14409	25542
343	14453	25503
344	14493	25458
345	14536	25418
346	14574	25368
347	14649	25384
348	14678	25319
349	14718	25274
350	14764	25238
351	14825	25228
352	14861	25175
353	14899	25127
354	14940	25082
355	14983	25042
356	15022	24995
357	15076	24972
358	15127	24944
359	15178	24918
360	15211	24861
361	15249	24812
362	15283	24757
363	15321	24708
364	15352	24647
365	15401	24617
366	15438	24567
367	15466	24502
368	15495	24440
369	15526	24381
370	15566	24335
371	15603	24286
372	15646	24245
373	15689	24205
374	15728	24158
375	15764	24108
376	15800	24056
377	15842	24015
378	15893	23987
379	15959	23980
380	16004	23944
381	16043	23897
382	16085	23855
383	16128	23814
384	16176	23780
385	16220	23741
386	16261	23698
387	16294	23644
388	16332	23596
389	16366	23542
390	16404	23494
391	16445	23451
392	16497	23423
393	16537	23379
394	16572	23326
395	16608	23276
396	16643	23224
397	16676	23171
398	16713	23122
399	16761	23089
400	16836	23092
401	16891	23068
402	16938	23033
403	16973	22982
404	17007	22928
405	17043	22878
406	17080	22829
407	17123	22788
408	17161	22742
409	17199	22694
410	17233	22642
411	17270	22593
412	17302	22539
413	17342	22495
414	17376	22443
415	17426	22410
416	17468	22369
417	17509	22326
418	17549	22282
419	17592	22241
420	17635	22201
421	17687	22171
422	17725	22125
423	17765	22081
424	17809	22041
425	17843	21990
426	17881	21943
427	17920	21898
428	17962	21856
429	18001	21810
430	18042	21767
431	18093	21737
432	18134	21694
433	18166	21640
434	18196	21584
435	18253	21561
436	18302	21527
437	18347	21489
438	18385	21442
439	18420	21393
440	18452	21339
441	18488	21290
442	18523	21241
443	18575	21211
444	18614	21166
445	18653	21121
446	18685	21068
447	18723	21022
448	18757	20971
449	18792	20922
450	18824	20869
451	18856	20816
452	18893	20770
453	18925	20718
454	18981	20692
455	19014	20640
456	19041	20583
457	19070	20528
458	19101	20474
459	19138	20428
460	19176	20383
461	19213	20335
462	19255	20294
463	19306	20263
464	19343	20216
465	19385	20175
466	19428	20135
467	19470	20094
468	19504	20044
469	19549	20007
470	19601	19976
471	19671	19963
472	19713	19922
473	19767	19892
474	19805	19846
475	19837	19795
476	19865	19740
477	19921	19713
478	19962	19670
479	19994	19619
480	20035	19577
481	20092	19550
482	20139	19514
483	20173	19464
484	20206	19414
485	20242	19367
486	20281	19323
487	20323	19281
488	20371	19246
489	20416	19207
490	20454	19162
491	20489	19115
